"","name_country","name_region.y","wd","summass","n","sumarea","nyear","massperyear","cropcount_spam","name_region","FDI2016","FDI2017","FDI2018","FDI2019","FDI2020","FDI_in","agri_export","GCF","export_value_1000$","export_tonnes","export_agriraw","latitude","averagetemp","mintemp","maxtemp","avgprecipitation","gdp","gdppercapita","agri_gdp","hdi2019","hditier","pop2022","pesticide per cropland","pesticidepercapita","pesiticidepervalueproduction","Npercropland","Npercapita","Npervalueproduction","Ppercropland","Ppercapita","Ppervalueproduction","Kpercropland","Kpercapita","Kpervalueproduction","name_country.y","averageuse","name_country.y.y","averageusepesticide","usefertilizer","ratiopesticide/fertilizer"
"1","Algeria","Africa",0.255974594494568,1624.2092,173,31726.702,5,324.84184,57,"Africa",1.02369638716223,0.7232598725207,0.838207480046885,0.804110686575591,0.776991758677732,0.833253236996628,0.042812035,47.1897663871277,459308,787504,792430.4,"28.033885999999999",22.7345017604224,15.6459437294275,29.8731653206793,116.927667040339,173111718218.984,4104.08570318812,12.4642407318585,0.748,"High",44903225,0.668,0.134,0.378,8.266,1.664,4.698,6.924,1.394,3.934,3.142,0.634,1.786,"Algeria",0.378,"Algeria",0.378,4.1,0.0921951219512195
"2","Angola","Africa",0.571990773870825,583.172,38,4078.2,4,145.793,30,"Africa",-0.360184268695437,-10.72495141998,-8.29905182490874,-5.91333383842152,-3.48097807763805,-5.75569988592875,0.224488827,20.5913649875115,41905,136737,109026.89,"-11.202692000000001",21.3100719955042,14.4892326030228,28.1811990303387,1014.72086336058,83048046114.6772,2702.33981561127,9.08972776297622,0.581,"Medium",35588987,0.01,0,0.01,4.238,0.72,3.69,1.66,0.282,1.442,1.974,0.334,1.716,"Angola",0.01,"Angola",0.01,6.97,0.00143472022955524
"3","Argentina","South America",0.36941978492766,136234.6288,272,1843915.031,5,27246.92576,70,"South America",0.584749931723909,1.78936428458758,2.232532212602,1.46840045667751,1.2122067456661,1.45745072625142,0.985115097,16.3071995782313,27609300,92539371,353948.53,"-38.416097000000001",14.8483559015967,8.40101173835745,21.3394850984606,452.310388594354,570072492593.115,12823.6045666478,5.41549761989176,0.845,"Very High",45510318,5.892,0,2.778,33.446,25.824,15.708,20.984,16.24,9.878,1.218,0.946,0.576,"Argentina",2.778,"Argentina",2.778,28.08,0.0989316239316239
"4","Australia","Oceania",0.327390172774303,67814.4364,373,1035707.952,5,13562.88728,77,"Oceania",3.56095429419089,3.63246939512402,4.29284940490712,2.80909001665667,1.40835758226303,3.14074413862835,2.462048198,23.9251758032256,11008710,25058849,1243041.01,"-25.274398000000001",21.3305884565895,14.1774416899741,28.5334158624677,420.224255807176,1449828340214.33,58062.4337780073,2.33749307217549,0.944,"Very High",26177413,2.032,2.524,1.562,45.618,56.744,34.936,31.022,38.566,23.83,9.036,11.232,6.956,"Australia",1.562,"Australia",1.562,9.67,0.16153050672182
"5","Austria","Europe",0.275544156754008,1529.335,206,27751.048,5,305.867,59,"Europe",-7.31091695803709,3.23990497953366,-6.28465704339643,-2.94845938225556,-4.20412488106063,-3.50165065704321,1.564232599,25.2244368375925,5254746,4624750,2821565.56,"47.516230999999998",5.46461535111452,1.20205128957064,9.74666667595888,1051.69487116887,399442319603.399,45215.4249206177,1.12449997697783,0.922,"Very High",8939617,3.464,0.544,0.77,79.928,12.576,17.804,20.642,3.248,4.598,24.908,3.912,5.544,"Austria",0.77,"Austria",0.77,4.74,0.162447257383966
"6","Azerbaijan","Asia",0.430190399024877,266.9574,33,3102.789,5,53.39148,59,"Asia",11.8826533237788,7.01687943666137,2.97794611197123,3.12183056112494,1.18790387182911,5.23744266107309,0.51840747,22.8326948458739,775630,815662,183591.74,"40.143104999999998",12.8652778201633,8.05722221897708,17.713611178928,511.619442409939,52037120163.6436,5238.78196611226,5.77180529545951,0.756,"High",10358074,0.232,0.054,0.108,54.608,12.774,24.708,0.2525,0.0575,0.1225,2.584,0.608,1.164,"Azerbaijan",0.108,"Azerbaijan",0.108,29.72,0.00363391655450875
"7","Bangladesh","Asia",0.393970500676501,17365.8442,126,220396.583,5,3473.16884,55,"Asia",0.879489435699778,0.616295206593397,0.753510982649492,0.543233649182274,0.407944223593987,0.640094699543786,NA,31.3061764232946,439352,526231,2516889.59,"23.684994",25.3829787639861,20.7636169677085,30.0525530957161,2290.93830774186,239067746991.093,1480.00059202176,12.5754310328522,0.632,"Medium",171186372,1.66,0.09,0.402,141.652,7.97,34.05,77.002,4.332,18.512,49.192,2.764,11.83,"Bangladesh",0.402,"Bangladesh",0.402,12.27,0.0327628361858191
"8","Belarus","Europe",0.123462285922488,4881.6464,225,197733.695,5,976.32928,39,"Europe",2.6128050216432,2.33213850448518,2.3762618776861,1.9768777744873,2.2631473473995,2.31224610514026,2.984854596,27.8383762547032,1401496,2733629,462433.08,"53.709806999999998",6.7065178666796,2.20330357604793,11.2284821442195,615.670534406389,57428962425.9214,6088.33710211533,6.98460464817353,0.823,"Very High",9534954,0.668,0.41,0.338,69.894,42.948,35.562,15.422,9.474,7.856,67.748,41.616,34.486,"Belarus",0.338,"Belarus",0.338,44.97,0.00751612185901712
"9","Belgium","Europe",0.333090300464281,3280.5854,270,49244.955,5,656.11708,52,"Europe",12.0862954763607,-7.41675753843461,-7.65649926987644,-5.61763290680491,-3.36810751155675,-2.3945403500624,1.219019774,24.6292721356176,22238448,23304509,3311185.4,"50.503886999999999",8.858333296246,4.56277771790822,13.1888890266418,715.749996609158,477992931992.953,41807.4939939717,0.640126536226724,0.931,"Very High",11655930,7.27,0.554,0.69,198.644,15.142,18.834,21.764,1.658,2.066,69.514,5.298,6.59,"Belgium",0.69,"Belgium",0.69,30.46,0.0226526592252134
"10","Bolivia","South America",0.160856007070244,3807.3256,97,118347.817,5,761.46512,64,"South America",0.988080149462259,1.89949328085862,0.750524780939579,-0.529735011311977,-3.08351648267274,0.00496934345514832,0.566431699,19.9054282271056,1285095,2604595,48951.27,"-16.290154000000001",21.1430874900088,14.8213661360692,27.5100819243759,1061.58333671028,36134439447.9623,3183.29397255531,12.0931647248802,0.718,"High",12224110,4.14,1.71,2.836,4.094,1.692,2.812,3.042,1.252,2.084,0.866,0.36,0.594,"Bolivia (Plurinational State of)",2.836,"Bolivia (Plurinational State of)",2.836,8.57,0.330921820303384
