CROPNAME,Cropname_FAO,GROUP,GROUP2
abaca,Manila Fibre (Abaca),Fiber,fibrenes
agave,Agave Fibres Nes,Fiber,fibrenes
alfalfa,alfalfa,Forage,Forage
almond,"Almonds, with shell",Treenuts,nutnes
aniseetc,"Anise, badian, fennel, corian.",OtherCrops,othercrop
apple,Apples,Fruit,stonefruitnes
apricot,Apricots,Fruit,stonefruitnes
areca,Arecanuts,OtherCrops,othercrop
artichoke,Artichokes,Vegetables&Melons,vegetablenes
asparagus,Asparagus,Vegetables&Melons,vegetablenes
avocado,Avocados,Fruit,tropicalnes
bambara,Bambara beans,Pulses,pulsenes
banana,Bananas,Fruit,tropicalnes
barley,Barley,Cereals,cerealnes
bean,"Beans, dry",Pulses,pulsenes
beetfor,beetfor,Forage,
berrynes,Berries Nes,Fruit,berrynes
blueberry,Blueberries,Fruit,berrynes
brazil,"Brazil nuts, with shell",Treenuts,nutnes
broadbean,"Broad beans, horse beans, dry",Pulses,pulsenes
buckwheat,Buckwheat,Cereals,cerealnes
cabbage,Cabbages and other brassicas,Vegetables&Melons,vegetablenes
cabbagefor,cabbagefor,Forage,
canaryseed,Canary seed,Cereals,cerealnes
carob,Carobs,Fruit,berrynes
carrot,Carrots and turnips,Vegetables&Melons,vegetablenes
carrotfor,carrotfor,Forage,
cashew,"Cashew nuts, with shell",Treenuts,nutnes
cashewapple,Cashewapple,Fruit,-
cassava,Cassava,Roots&Tubers,rootnes
castor,Castor oil seed,Oilcrops,oilseednes
cauliflower,Cauliflowers and broccoli,Vegetables&Melons,vegetablenes
cerealnes,"Cereals, nes",Cereals,cerealnes
cherry,Cherries,Fruit,stonefruitnes
chestnut,Chestnuts,Treenuts,nutnes
chickpea,Chick peas,Pulses,pulsenes
chicory,Chicory roots,OtherCrops,othercrop
chilleetc,"Chillies and peppers, green",Vegetables&Melons,vegetablenes
cinnamon,Cinnamon (canella),OtherCrops,othercrop
citrusnes,"Citrus fruit, nes",Fruit,citrusnes
clove,Cloves,OtherCrops,othercrop
clover,clover,Forage,
cocoa,Cocoa beans,OtherCrops,othercrop
coconut,Coconuts,Oilcrops,oilseednes
coffee,"Coffee, green",OtherCrops,othercrop
coir,Coir,Fiber,fibrenes
cotton,Seed,Fiber,fibrenes
cowpea,"Cow peas, dry",Pulses,pulsenes
cranberry,Cranberries,Fruit,berrynes
cucumberetc,Cucumbers and gherkins,Vegetables&Melons,vegetablenes
currant,Currants,Fruit,berrynes
date,Dates,Fruit,tropicalnes
eggplant,Eggplants (aubergines),Vegetables&Melons,vegetablenes
fibrenes,Fibre Crops Nes,Fiber,fibrenes
fig,Figs,Fruit,tropicalnes
flax,Flax fibre and tow,Fiber,fibrenes
fonio,Fonio,Cereals,cerealnes
fornes,fornes,Forage,
fruitnes,Fresh Nes,Fruit,fruitnes
garlic,Garlic,Vegetables&Melons,vegetablenes
garlic,Garlic,Vegetables&Melons,vegetablenes
ginger,Ginger,OtherCrops,othercrop
gooseberry,Gooseberries,Fruit,berrynes
grape,Grapes,Fruit,grape
grapefruitetc,Grapefruit (inc. pomelos),Fruit,citrusnes
grassnes,grassnes,Forage,
greenbean,"Beans, green",Vegetables&Melons,vegetablenes
greenbroadbean,"Leguminous vegetables, nes",Vegetables&Melons,vegetablenes
greencorn,"Maize, green",Vegetables&Melons,vegetablenes
greenonion,"Onions (inc. shallots),green",Vegetables&Melons,vegetablenes
greenpea,"Peas, green",Vegetables&Melons,vegetablenes
groundnut,"Groundnuts, with shell",Oilcrops,oilseednes
gums,Gums Natural,OtherCrops,othercrop
hazelnut,"Hazelnuts, with shell",Treenuts,nutnes
hemp,Hemp Tow Waste,Fiber,fibrenes
hempseed,Hempseed,Oilcrops,oilseednes
hop,Hops,OtherCrops,othercrop
jute,Jute,Fiber,fibrenes
jutelikefiber,Other Bastfibres,Fiber,fibrenes
kapokfiber,Kapok Fibre,Fiber,fibrenes
kapokseed,Kapokseed in Shell,Fiber,fibrenes
karite,Karite Nuts (Sheanuts),Oilcrops,oilseednes
kiwi,Kiwi fruit,Fruit,berrynes
kolanut,Kolanuts,OtherCrops,othercrop
