name_indication,name_activeindication,name_stagegroup,name_cropstage,name_app,name_refapp,bbch_specific,count,summass,name_refapp_adj,treatment,remarks
FUNGICIDES,FUNGICIDES-ACTIV,0 SOIL,0001-PREPLANT/AT-PL,-,undefined,9,356,1016.295,undefined,soil,
FUNGICIDES,FUNGICIDES-ACTIV,0 SOIL,0001-PREPLANT/AT-PL,ALL-TERRAIN VEHICLE-(ATV),Boom sprayer,9,2,0.298,Boom sprayer,soil,
FUNGICIDES,FUNGICIDES-ACTIV,0 SOIL,0001-PREPLANT/AT-PL,ATOMISING,Boom sprayer,9,8,0.708,Boom sprayer,soil,
FUNGICIDES,FUNGICIDES-ACTIV,0 SOIL,0001-PREPLANT/AT-PL,BACKPACK-APPLICATION,Hand operated sprayer,9,37,5.506,Hand operated sprayer,soil,
FUNGICIDES,FUNGICIDES-ACTIV,0 SOIL,0001-PREPLANT/AT-PL,BAND,Boom sprayer,9,90,253.492,Boom sprayer,soil,
FUNGICIDES,FUNGICIDES-ACTIV,0 SOIL,0001-PREPLANT/AT-PL,BOX,Soil incorporation,9,1,0.63,Soil incorporation,soil,
FUNGICIDES,FUNGICIDES-ACTIV,0 SOIL,0001-PREPLANT/AT-PL,BROAD,Boom sprayer,9,262,249.91,Boom sprayer,soil,
FUNGICIDES,FUNGICIDES-ACTIV,0 SOIL,0001-PREPLANT/AT-PL,CHEMIGATION,Soil incorporation,9,27,24.884,Soil incorporation,soil,
FUNGICIDES,FUNGICIDES-ACTIV,0 SOIL,0001-PREPLANT/AT-PL,CROP-TREATMENT-BY-JETTING,Boom sprayer,9,3,0.095,Boom sprayer,soil,
FUNGICIDES,FUNGICIDES-ACTIV,0 SOIL,0001-PREPLANT/AT-PL,DRENCH,Boom sprayer,9,2,0.329,Boom sprayer,soil,
FUNGICIDES,FUNGICIDES-ACTIV,0 SOIL,0001-PREPLANT/AT-PL,DRIP-IRRIGATION,Soil incorporation,9,21,1.039,Soil incorporation,soil,
FUNGICIDES,FUNGICIDES-ACTIV,0 SOIL,0001-PREPLANT/AT-PL,FOLIAR-TREATMENT,Boom sprayer,9,35,4.198,Boom sprayer,soil,
FUNGICIDES,FUNGICIDES-ACTIV,0 SOIL,0001-PREPLANT/AT-PL,GROUND-APPLICATION,Boom sprayer,9,117,175.043,Boom sprayer,soil,
FUNGICIDES,FUNGICIDES-ACTIV,0 SOIL,0001-PREPLANT/AT-PL,HELICOPTER/AIRPLANE,Aerial application,9,31,113.705,Aerial application,soil,"suppose before plant growth, still can use air app. for soil treatment?"
FUNGICIDES,FUNGICIDES-ACTIV,0 SOIL,0001-PREPLANT/AT-PL,HIGH-TRACTOR,Boom sprayer,9,40,170.506,Boom sprayer,soil,
FUNGICIDES,FUNGICIDES-ACTIV,0 SOIL,0001-PREPLANT/AT-PL,IN-FURROW,Soil incorporation,9,11,67.061,Soil incorporation,soil,
FUNGICIDES,FUNGICIDES-ACTIV,0 SOIL,0001-PREPLANT/AT-PL,MANUAL-APPLICATION,Hand operated sprayer,9,7,2.513,Hand operated sprayer,soil,
FUNGICIDES,FUNGICIDES-ACTIV,0 SOIL,0001-PREPLANT/AT-PL,SOIL-DRENCH,Soil incorporation,9,8,0.884,Soil incorporation,soil,
FUNGICIDES,FUNGICIDES-ACTIV,0 SOIL,0001-PREPLANT/AT-PL,SOIL-INCORPORATED,Soil incorporation,9,2,0.006,Soil incorporation,soil,
FUNGICIDES,FUNGICIDES-ACTIV,0 SOIL,0001-PREPLANT/AT-PL,SOIL-TREATMENT-BY-SPRAYING,Soil incorporation,9,28,15.812,Soil incorporation,soil,
FUNGICIDES,FUNGICIDES-ACTIV,0 SOIL,0001-PREPLANT/AT-PL,SPOT-TREATMENT,Boom sprayer,9,78,142.638,Boom sprayer,soil,
FUNGICIDES,FUNGICIDES-ACTIV,0 SOIL,0001-PREPLANT/AT-PL,SPRAY:OTHERS,Boom sprayer,9,12,0.789,Boom sprayer,soil,
FUNGICIDES,FUNGICIDES-ACTIV,0 SOIL,0001-PREPLANT/AT-PL,SPRAYING,Boom sprayer,9,5,0.064,Boom sprayer,soil,
FUNGICIDES,FUNGICIDES-ACTIV,0 SOIL,0001-PREPLANT/AT-PL,STRIP-TREATMENT,Boom sprayer,9,2,0.141,Boom sprayer,soil,
FUNGICIDES,FUNGICIDES-ACTIV,0 SOIL,0001-PREPLANT/AT-PL,TRACTOR-APPLICATION,Boom sprayer,9,90,555.421,Boom sprayer,soil,
FUNGICIDES,FUNGICIDES-ACTIV,0 SOIL,0001-PREPLANT/AT-PL,TREATMENT-BY-DIPPING,Soil incorporation,9,25,4.385,Soil incorporation,soil,
FUNGICIDES,FUNGICIDES-ACTIV,0 SOIL,0001-PREPLANT/AT-PL,WETTING,Boom sprayer,9,2,6.667,Boom sprayer,soil,
FUNGICIDES,FUNGICIDES-ACTIV,0 SOIL,0110-SOIL,-,undefined,9,196,934.109,undefined,soil,
FUNGICIDES,FUNGICIDES-ACTIV,0 SOIL,0110-SOIL,GROUND-APPLICATION,Boom sprayer,9,166,465.256,Boom sprayer,soil,
FUNGICIDES,FUNGICIDES-ACTIV,00 SEED-DRESSING,0000-SEED-DRESSING,-,undefined,9,101,442.408,undefined,undefined,
FUNGICIDES,FUNGICIDES-ACTIV,00 SEED-DRESSING,0000-SEED-DRESSING,BOX,Soil incorporation,9,3,4.4,Soil incorporation,soil,seed conflict soil
FUNGICIDES,FUNGICIDES-ACTIV,00 SEED-DRESSING,0000-SEED-DRESSING,SEED-TREATMENT,Seed treatment,9,60,400.671,Seed treatment,seed,
FUNGICIDES,FUNGICIDES-ACTIV,02 WINTER-TREATMENT,0000-DORMANT-TREATM.,AERIAL-APPLICATION,Aerial application,9,33,35,Aerial application,crop,
FUNGICIDES,FUNGICIDES-ACTIV,02 WINTER-TREATMENT,0000-DORMANT-TREATM.,CHEMIGATION,Soil incorporation,9,7,56.821,Soil incorporation,soil,
FUNGICIDES,FUNGICIDES-ACTIV,02 WINTER-TREATMENT,0000-DORMANT-TREATM.,GROUND-APPLICATION,Boom sprayer,9,214,2611.874,Boom sprayer,crop,
FUNGICIDES,FUNGICIDES-ACTIV,02 WINTER-TREATMENT,0000-DORMANT-TREATM.,SPOT-TREATMENT,Boom sprayer,9,7,3.978,Boom sprayer,crop,
FUNGICIDES,FUNGICIDES-ACTIV,02 WINTER-TREATMENT,0000-WINTER-TREATM,-,undefined,9,61,57.773,undefined,crop,
FUNGICIDES,FUNGICIDES-ACTIV,02 WINTER-TREATMENT,0000-WINTER-TREATM,ATOMISING,Boom sprayer,9,33,27.909,Boom sprayer,crop,
FUNGICIDES,FUNGICIDES-ACTIV,02 WINTER-TREATMENT,0000-WINTER-TREATM,BACKPACK-APPLICATION,Hand operated sprayer,9,11,0.52,Hand operated sprayer,crop,
FUNGICIDES,FUNGICIDES-ACTIV,02 WINTER-TREATMENT,0000-WINTER-TREATM,BOARDER-TREATMENT,Boom sprayer,9,3,1.801,Boom sprayer,crop,
FUNGICIDES,FUNGICIDES-ACTIV,02 WINTER-TREATMENT,0000-WINTER-TREATM,BROAD,Boom sprayer,9,235,287.298,Boom sprayer,crop,
FUNGICIDES,FUNGICIDES-ACTIV,02 WINTER-TREATMENT,0000-WINTER-TREATM,BURNDOWN,Boom sprayer,9,1,0.472,Boom sprayer,crop,
FUNGICIDES,FUNGICIDES-ACTIV,02 WINTER-TREATMENT,0000-WINTER-TREATM,CROP-TREATMENT-BY-JETTING,Boom sprayer,9,2,0.116,Boom sprayer,crop,
FUNGICIDES,FUNGICIDES-ACTIV,02 WINTER-TREATMENT,0000-WINTER-TREATM,HELICOPTER/AIRPLANE,Aerial application,9,19,26.705,Aerial application,crop,
FUNGICIDES,FUNGICIDES-ACTIV,02 WINTER-TREATMENT,0000-WINTER-TREATM,MANUAL-APPLICATION,Hand operated sprayer,9,2,0.607,Hand operated sprayer,crop,
FUNGICIDES,FUNGICIDES-ACTIV,02 WINTER-TREATMENT,0000-WINTER-TREATM,SOIL-TREATMENT-BY-SPRAYING,Soil incorporation,9,6,0.755,Boom sprayer,soil,need to adjust it to boom sprayer; still soil treatment for fungicides?
FUNGICIDES,FUNGICIDES-ACTIV,02 WINTER-TREATMENT,0000-WINTER-TREATM,SPOT-TREATMENT,Boom sprayer,9,2,0.007,Boom sprayer,crop,
FUNGICIDES,FUNGICIDES-ACTIV,02 WINTER-TREATMENT,0000-WINTER-TREATM,SPRAYING,Boom sprayer,9,98,1628.686,Boom sprayer,crop,
FUNGICIDES,FUNGICIDES-ACTIV,02 WINTER-TREATMENT,0000-WINTER-TREATM,STEM-TREATMENT,Hand operated sprayer,9,6,4.787,Hand operated sprayer,crop,
FUNGICIDES,FUNGICIDES-ACTIV,02 WINTER-TREATMENT,0000-WINTER-TREATM,STRIP-TREATMENT,Boom sprayer,9,1,0.176,Boom sprayer,crop,
FUNGICIDES,FUNGICIDES-ACTIV,02 WINTER-TREATMENT,0000-WINTER-TREATM,TRACTOR-APPLICATION,Boom sprayer,9,24,9.292,Boom sprayer,crop,
